temperatura,humedad,radiacion,hora
25.16,30.93,1245,00:05:51
25.16,30.35,1191,00:05:55
25.16,31.21,1216,00:05:59
25.20,32.34,1137,00:06:03
25.23,32.74,1044,00:06:07
25.25,32.75,1043,00:06:11
25.25,32.53,1213,00:06:15
25.27,32.30,1040,00:06:19
25.27,32.30,1040,00:06:23
25.28,32.39,1070,00:06:28
25.29,32.61,1124,00:06:32
25.29,32.92,1197,00:06:36
25.29,32.64,1043,00:06:40
25.29,31.69,1042,00:06:44
25.31,30.97,1091,00:06:48
25.30,30.26,1086,00:06:52
25.29,29.73,1216,00:06:56
25.27,29.64,1040,00:07:00
25.26,29.47,1119,00:07:04
25.25,29.26,1219,00:07:08
25.26,29.44,1264,00:07:12
25.27,29.54,1066,00:07:16
25.26,29.52,1195,00:07:20
25.25,29.42,1219,00:07:24
25.26,29.18,1201,00:07:28
25.27,30.15,1081,00:07:32
25.26,30.40,1205,00:07:36
25.28,30.70,1181,00:07:40
25.27,30.74,1159,00:07:44
25.27,30.48,1230,00:07:48
25.27,30.60,1063,00:07:52
25.28,31.06,1203,00:07:56
25.29,31.24,1151,00:08:00
25.29,31.25,1104,00:08:04
25.29,30.99,1168,00:08:08
25.29,30.73,1215,00:08:12
25.27,29.96,1037,00:08:16
25.26,29.26,1199,00:08:20
25.25,28.99,1067,00:08:24
25.25,28.91,1184,00:08:28
25.23,28.89,1030,00:08:32
25.26,29.73,1040,00:08:36
25.29,28.81,1040,00:08:40
25.31,28.11,1057,00:08:44
25.30,27.73,1040,00:08:48
25.33,27.54,1043,00:00:02
25.30,27.46,1040,00:00:06
25.32,27.37,1040,00:00:10
25.35,27.48,1203,00:00:14
25.35,27.62,1104,00:00:18
25.35,27.81,1231,00:00:22
25.34,27.94,1066,00:00:26
25.33,27.99,1227,00:00:30
25.33,28.07,1149,00:00:34
25.32,28.11,1165,00:00:38
25.31,28.08,1215,00:00:42
25.30,28.00,1168,00:00:46
25.29,27.94,1180,00:00:50
25.31,27.95,1187,00:00:54
25.31,27.96,1147,00:00:58
25.32,27.93,1214,00:01:02
25.33,27.85,1104,00:01:06
25.30,27.80,1209,00:01:10
25.30,27.67,1221,00:01:14
25.31,27.67,1208,00:01:18
25.30,27.72,1177,00:01:22
25.29,27.98,1136,00:01:26
25.29,28.26,1089,00:01:30
25.28,28.37,1177,00:01:34
25.29,28.30,1229,00:01:38
25.28,28.13,1215,00:01:42
25.27,28.03,1196,00:01:46
25.28,27.97,1119,00:01:50
25.29,27.95,1078,00:01:54
25.31,27.96,1143,00:01:58
25.32,27.95,1203,00:02:02
25.32,27.88,1161,00:02:06
25.35,27.83,1038,00:02:10
25.35,27.74,1055,00:02:14
25.34,27.67,1232,00:02:18
25.33,27.63,1232,00:02:22
25.33,27.56,1061,00:02:26
25.33,27.64,1197,00:02:30
25.33,27.73,1203,00:02:34
25.34,27.83,1226,00:02:38
25.33,27.69,1216,00:02:42
25.35,27.66,1085,00:02:46
25.37,27.70,1177,00:02:50
25.38,27.71,1210,00:02:54
25.41,27.69,1197,00:02:58
25.43,27.73,1089,00:03:02
25.42,27.76,1169,00:03:06
25.42,27.91,1075,00:03:10
25.41,28.15,1181,00:03:14
25.43,28.31,1083,00:03:18
25.44,28.45,1139,00:03:22
25.43,28.50,1168,00:03:26
25.44,28.50,1089,00:03:30
25.45,28.52,1168,00:03:34
25.44,28.58,1105,00:03:38
25.46,28.57,1222,00:03:43
25.47,28.56,1053,00:03:47
25.49,28.57,1085,00:03:51
25.50,28.52,1216,00:03:55
25.51,28.57,1150,00:03:59
25.50,28.37,1183,00:04:03
25.52,28.15,1221,00:04:07
25.50,28.02,1115,00:04:11
25.50,28.00,1197,00:04:15
25.51,27.94,1217,00:04:19
25.50,27.85,1195,00:04:23
25.50,27.79,1159,00:04:27
25.51,27.78,1211,00:04:31
25.53,27.79,1217,00:04:35
25.53,27.86,1219,00:04:39
25.55,28.01,1147,00:04:43
25.54,28.04,1110,00:04:47
25.54,28.15,1151,00:04:51
25.55,28.14,1121,00:04:55
25.57,28.10,1215,00:04:59
25.55,28.22,1179,00:05:03
25.56,28.36,1082,00:05:07
25.57,28.46,1204,00:05:11
25.59,28.63,1219,00:05:15
25.58,28.75,1218,00:05:19
25.59,28.59,1215,00:05:23
25.60,28.53,1051,00:05:27
25.61,28.46,1179,00:05:31
25.64,28.63,1040,00:05:35
25.69,28.74,1040,00:05:39
25.71,28.63,1040,00:00:02
25.75,28.54,1039,00:00:06
25.77,28.51,1207,00:00:10
25.77,28.47,1085,00:00:14
25.80,28.45,1187,00:00:18
25.79,28.40,1152,00:00:22
25.78,28.17,1211,00:00:26
25.80,28.03,1200,00:00:30
25.79,28.03,1090,00:00:34
25.80,27.94,1200,00:00:38
25.82,27.81,1215,00:00:42
